"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
14308.5896748824,14162.7279230066,14454.4514267582,14085.5133757426,14531.6659740222
14304.0292638787,14097.7495961444,14510.3089316129,13988.5517361912,14619.5067915662
14304.2708663972,14051.6309012673,14556.9108315271,13917.8913823226,14690.6503504717
14300.0093838307,14008.2858800791,14591.7328875823,13853.8567855511,14746.1619821103
14299.5822531481,13973.4254606365,14625.7390456596,13800.7684841024,14798.3960221937
14298.5304551601,13941.2435900759,14655.8173202442,13752.1073485591,14844.953561761
14298.1204548886,13912.206533629,14684.0343761482,13707.916043972,14888.3248658051
14297.3147762782,13884.7554408096,14709.8741117467,13666.3597209032,14928.2698316532
14293.7931081915,13856.207852564,14731.3783638189,13624.5642107721,14963.0220056109
14295.5420580963,13834.2866986664,14756.7974175262,13590.1128608135,15000.9712553791
14298.9034382427,13815.1347360067,14782.6721404787,13559.0430543749,15038.7638221105
14297.9024857086,13792.6225554488,14803.1824159684,13525.1435175594,15070.6614538577
14294.9461074931,13769.0340819759,14820.8581330104,13490.6330726038,15099.2591423824
14293.831443681,13748.0667423271,14839.5961450349,13459.1563611904,15128.5065261717
14294.4513516286,13729.531215765,14859.3714874923,13430.4805601266,15158.4221431307
14298.7229079942,13715.275900491,14882.1699154975,13406.417711435,15191.0281045534
14300.9489367025,13699.5455269809,14902.3523464241,13381.1817927772,15220.7160806278
14304.6434307533,13685.8044275505,14923.4824339561,13358.2108476908,15251.0760138158
14304.1080138238,13668.3113776694,14939.9046499783,13331.7409691744,15276.4750584733
14304.3713808004,13652.0577957774,14956.6849658235,13306.7438427091,15301.9989188918
14303.7612727983,13635.3387538285,14972.1837917681,13281.4972462396,15326.0252993571
14301.4011178683,13617.2488581145,14985.553377622,13255.0805287399,15347.7217069967
14307.7467458392,13608.2183581476,15007.2751335309,13237.9103983206,15377.5830933578
14312.2277187803,13597.653988612,15026.8014489487,13219.3815055784,15405.0739319823
14311.3093120655,13582.0005526864,15040.6180714445,13195.9278163665,15426.6908077645
14310.362739421,13566.6108203194,15054.1146585226,13172.8923370871,15447.8331417549
14309.1605810226,13551.2406856329,15067.0804764123,13150.0221287989,15468.2990332463
14308.3300974644,13536.5022549452,15080.1579399836,13127.9212756313,15488.7389192975
14307.2960351723,13521.8064622637,15092.7856080809,13105.9933997388,15508.5986706057
14302.6806451061,13503.7629273101,15101.5983629021,13080.8414342697,15524.5198559425
